areaCode,areaName,areaType,date,cumDeaths28DaysByPublishDate
E92000001,England,nation,2021-12-22,128289
E92000001,England,nation,2021-12-21,128166
E92000001,England,nation,2021-12-20,128012
E92000001,England,nation,2021-12-19,127977
E92000001,England,nation,2021-12-18,127939
E92000001,England,nation,2021-12-17,127828
E92000001,England,nation,2021-12-16,127730
E92000001,England,nation,2021-12-15,127608
E92000001,England,nation,2021-12-14,127479
E92000001,England,nation,2021-12-13,127341
E92000001,England,nation,2021-12-12,127315
E92000001,England,nation,2021-12-11,127271
E92000001,England,nation,2021-12-10,127154
E92000001,England,nation,2021-12-09,127064
E92000001,England,nation,2021-12-08,126951
E92000001,England,nation,2021-12-07,126817
E92000001,England,nation,2021-12-06,126656
E92000001,England,nation,2021-12-05,126622
E92000001,England,nation,2021-12-04,126581
E92000001,England,nation,2021-12-03,126477
E92000001,England,nation,2021-12-02,126362
E92000001,England,nation,2021-12-01,126258
E92000001,England,nation,2021-11-30,126117
E92000001,England,nation,2021-11-29,125974
E92000001,England,nation,2021-11-28,125953
E92000001,England,nation,2021-11-27,125913
E92000001,England,nation,2021-11-26,125801
E92000001,England,nation,2021-11-25,125676
E92000001,England,nation,2021-11-24,125563
E92000001,England,nation,2021-11-23,125434
E92000001,England,nation,2021-11-22,125294
E92000001,England,nation,2021-11-21,125260
E92000001,England,nation,2021-11-20,125213
E92000001,England,nation,2021-11-19,125080
E92000001,England,nation,2021-11-18,124957
E92000001,England,nation,2021-11-17,124813
E92000001,England,nation,2021-11-16,124654
E92000001,England,nation,2021-11-15,124464
E92000001,England,nation,2021-11-14,124435
E92000001,England,nation,2021-11-13,124384
E92000001,England,nation,2021-11-12,124243
E92000001,England,nation,2021-11-11,124121
E92000001,England,nation,2021-11-10,123970
E92000001,England,nation,2021-11-09,123800
E92000001,England,nation,2021-11-08,123570
E92000001,England,nation,2021-11-07,123538
E92000001,England,nation,2021-11-06,123491
E92000001,England,nation,2021-11-05,123366
E92000001,England,nation,2021-11-04,123215
E92000001,England,nation,2021-11-03,123063
E92000001,England,nation,2021-11-02,122882
E92000001,England,nation,2021-11-01,122627
E92000001,England,nation,2021-10-31,122614
E92000001,England,nation,2021-10-30,122555
E92000001,England,nation,2021-10-29,122417
E92000001,England,nation,2021-10-28,122269
E92000001,England,nation,2021-10-27,122145
E92000001,England,nation,2021-10-26,121976
E92000001,England,nation,2021-10-25,121768
E92000001,England,nation,2021-10-24,121734
E92000001,England,nation,2021-10-23,121700
E92000001,England,nation,2021-10-22,121575
E92000001,England,nation,2021-10-21,121432
E92000001,England,nation,2021-10-20,121366
E92000001,England,nation,2021-10-19,121232
E92000001,England,nation,2021-10-18,121043
E92000001,England,nation,2021-10-17,121021
E92000001,England,nation,2021-10-16,120980
E92000001,England,nation,2021-10-15,120857
E92000001,England,nation,2021-10-14,120763
E92000001,England,nation,2021-10-13,120653
E92000001,England,nation,2021-10-12,120552
E92000001,England,nation,2021-10-11,120405
E92000001,England,nation,2021-10-10,120390
E92000001,England,nation,2021-10-09,120356
E92000001,England,nation,2021-10-08,120245
E92000001,England,nation,2021-10-07,120136
E92000001,England,nation,2021-10-06,120065
E92000001,England,nation,2021-10-05,119966
E92000001,England,nation,2021-10-04,119826
E92000001,England,nation,2021-10-03,119813
E92000001,England,nation,2021-10-02,119783
E92000001,England,nation,2021-10-01,119680
E92000001,England,nation,2021-09-30,119600
E92000001,England,nation,2021-09-29,119513
