date,type,Mt
01/01/1995,bioenergywaste,1.72
01/01/1995,coal,50.849998
01/01/1995,naturalgas,78.589996
01/01/1995,netimports,0
01/01/1995,nuclear,18.26
01/01/1995,petroleum,73.610001
01/01/1995,total,223.03
01/01/1995,windsolarandhydro,0
01/01/1996,bioenergywaste,1.77
01/01/1996,coal,51.900002
01/01/1996,naturalgas,85.309998
01/01/1996,netimports,0
01/01/1996,nuclear,21.790001
01/01/1996,petroleum,64.449997
01/01/1996,total,225.22
01/01/1996,windsolarandhydro,0
01/01/1997,bioenergywaste,1.91
01/01/1997,coal,52.779999
01/01/1997,naturalgas,89.980003
01/01/1997,netimports,1.33
01/01/1997,nuclear,21.9
01/01/1997,petroleum,73.470001
01/01/1997,total,241.37
01/01/1997,windsolarandhydro,0
01/01/1998,bioenergywaste,2.0799999
01/01/1998,coal,40.759998
01/01/1998,naturalgas,88.589996
01/01/1998,netimports,1.27
01/01/1998,nuclear,22.780001
01/01/1998,petroleum,68.370003
01/01/1998,total,224.36
01/01/1998,windsolarandhydro,.50999999
01/01/1999,bioenergywaste,2.23
01/01/1999,coal,36.34
01/01/1999,naturalgas,95.440002
01/01/1999,netimports,.93000001
01/01/1999,nuclear,23.610001
01/01/1999,petroleum,77.769997
01/01/1999,total,236.86
01/01/1999,windsolarandhydro,.54000002
01/01/2000,bioenergywaste,2.3099999
01/01/2000,coal,38.689999
01/01/2000,naturalgas,98.720001
01/01/2000,netimports,.81
01/01/2000,nuclear,20.299999
01/01/2000,petroleum,79.650002
01/01/2000,total,241.09
01/01/2000,windsolarandhydro,.61000001
01/01/2001,bioenergywaste,2.53
01/01/2001,coal,39.310001
01/01/2001,naturalgas,99.400002
01/01/2001,netimports,1.04
01/01/2001,nuclear,20.389999
01/01/2001,petroleum,78.099998
01/01/2001,total,241.14
01/01/2001,windsolarandhydro,.37
01/01/2002,bioenergywaste,2.75
01/01/2002,coal,40.540001
01/01/2002,naturalgas,94.349998
01/01/2002,netimports,.44
01/01/2002,nuclear,20.030001
01/01/2002,petroleum,76.18
01/01/2002,total,234.75999
01/01/2002,windsolarandhydro,.47
01/01/2003,bioenergywaste,3.1099999
01/01/2003,coal,36.130001
01/01/2003,naturalgas,96.870003
01/01/2003,netimports,.63
01/01/2003,nuclear,20.24
01/01/2003,petroleum,70.889999
01/01/2003,total,228.22
01/01/2003,windsolarandhydro,.34999999
01/01/2004,bioenergywaste,3.3
01/01/2004,coal,38.919998
01/01/2004,naturalgas,96.349998
01/01/2004,netimports,.73000002
01/01/2004,nuclear,18.24
01/01/2004,petroleum,83.279999
01/01/2004,total,241.38
01/01/2004,windsolarandhydro,.56
01/01/2005,bioenergywaste,4.3000002
01/01/2005,coal,42.23
01/01/2005,naturalgas,97.120003
01/01/2005,netimports,.62
01/01/2005,nuclear,20.629999
01/01/2005,petroleum,86.290001
01/01/2005,total,251.88
01/01/2005,windsolarandhydro,.69
01/01/2006,bioenergywaste,4.52
01/01/2006,coal,46.32
01/01/2006,naturalgas,89.040001
01/01/2006,netimports,.67000002
01/01/2006,nuclear,19.25
01/01/2006,petroleum,73.550003
01/01/2006,total,233.92999
01/01/2006,windsolarandhydro,.57999998
01/01/2007,bioenergywaste,4.8000002
01/01/2007,coal,48.220001
01/01/2007,naturalgas,92.720001
01/01/2007,netimports,.31
01/01/2007,nuclear,13.41
01/01/2007,petroleum,79.610001
01/01/2007,total,239.98
01/01/2007,windsolarandhydro,.91000003
01/01/2008,bioenergywaste,5.9299998
01/01/2008,coal,38.98
01/01/2008,naturalgas,96.75
01/01/2008,netimports,.95999998
01/01/2008,nuclear,12.42
01/01/2008,petroleum,75.589996
01/01/2008,total,231.8
01/01/2008,windsolarandhydro,1.17
01/01/2009,bioenergywaste,7.4299998
01/01/2009,coal,38.450001
01/01/2009,naturalgas,87.190002
01/01/2009,netimports,.079999998
01/01/2009,nuclear,10.52
01/01/2009,petroleum,70.510002
01/01/2009,total,215.37
01/01/2009,windsolarandhydro,1.1900001
01/01/2010,bioenergywaste,8.2399998
01/01/2010,coal,29.799999
01/01/2010,naturalgas,93.089996
01/01/2010,netimports,-.75
01/01/2010,nuclear,15.24
01/01/2010,petroleum,68.019997
01/01/2010,total,214.58
01/01/2010,windsolarandhydro,.94
01/01/2011,bioenergywaste,8.6000004
01/01/2011,coal,32.25
01/01/2011,naturalgas,87.870003
01/01/2011,netimports,.49000001
01/01/2011,nuclear,15.96
01/01/2011,petroleum,67.230003
01/01/2011,total,213.7
01/01/2011,windsolarandhydro,1.3
01/01/2012,bioenergywaste,9.1700001
01/01/2012,coal,35.630001
01/01/2012,naturalgas,74.669998
01/01/2012,netimports,1.45
01/01/2012,nuclear,13.83
01/01/2012,petroleum,66.309998
01/01/2012,total,203.32001
01/01/2012,windsolarandhydro,2.26
01/01/2013,bioenergywaste,9.6599998
01/01/2013,coal,36.360001
01/01/2013,naturalgas,73.639999
01/01/2013,netimports,.86000001
01/01/2013,nuclear,15.98
01/01/2013,petroleum,60.799999
01/01/2013,total,199.69
01/01/2013,windsolarandhydro,2.3900001
01/01/2014,bioenergywaste,10.52
