date,type,Mt
01/01/2011,bioenergywaste,8.6000004
01/01/2011,coal,32.25
01/01/2011,natural,87.870003
01/01/2011,netimports,.49000001
01/01/2011,nuclear,15.96
01/01/2011,total,213.7
01/01/2011,windsolarandhydro,1.3
01/01/2012,bioenergywaste,9.1700001
01/01/2012,coal,35.630001
01/01/2012,natural,74.669998
01/01/2012,netimports,1.45
01/01/2012,nuclear,13.83
01/01/2012,total,203.32001
01/01/2012,windsolarandhydro,2.26
01/01/2013,bioenergywaste,9.6599998
01/01/2013,coal,36.360001
01/01/2013,natural,73.639999
01/01/2013,netimports,.86000001
01/01/2013,nuclear,15.98
01/01/2013,total,199.69
01/01/2013,windsolarandhydro,2.3900001
01/01/2014,bioenergywaste,10.52
01/01/2014,coal,36.099998
01/01/2014,natural,68.559998
01/01/2014,netimports,1.84
01/01/2014,nuclear,14.43
01/01/2014,total,197.53
01/01/2014,windsolarandhydro,3.9400001
01/01/2015,bioenergywaste,12.13
01/01/2015,coal,28.1
01/01/2015,natural,69.339996
01/01/2015,netimports,1.74
01/01/2015,nuclear,16.219999
01/01/2015,total,198.11
01/01/2015,windsolarandhydro,4.6799998
01/01/2016,bioenergywaste,13.77
01/01/2016,coal,15.02
01/01/2016,natural,73.949997
01/01/2016,netimports,1.88
01/01/2016,nuclear,14.92
01/01/2016,total,188.67999
01/01/2016,windsolarandhydro,4.75
01/01/2017,bioenergywaste,14.04
01/01/2017,coal,13.7
01/01/2017,natural,78.980003
01/01/2017,netimports,.17
01/01/2017,nuclear,14.67
01/01/2017,total,191.34
01/01/2017,windsolarandhydro,4.2199998
01/01/2018,bioenergywaste,14.57
01/01/2018,coal,6.9299998
01/01/2018,natural,78.300003
01/01/2018,netimports,2.22
01/01/2018,nuclear,13.83
01/01/2018,total,189.46001
01/01/2018,windsolarandhydro,6.73
01/01/2019,bioenergywaste,15.7
01/01/2019,coal,6.3800001
01/01/2019,natural,78.07
01/01/2019,netimports,1.37
01/01/2019,nuclear,11.97
01/01/2019,total,187.73
01/01/2019,windsolarandhydro,6.04
01/01/2020,bioenergywaste,18.200001
01/01/2020,coal,6.8600001
01/01/2020,natural,69.639999
01/01/2020,netimports,1.4299999
01/01/2020,nuclear,12.8
01/01/2020,total,182.21001
01/01/2020,windsolarandhydro,9.1199999
01/01/2021,bioenergywaste,17.700001
01/01/2021,coal,5.02
01/01/2021,natural,73.339996
01/01/2021,netimports,2.03
01/01/2021,nuclear,10.78
01/01/2021,total,163.39
01/01/2021,windsolarandhydro,6.9000001
01/02/2010,bioenergywaste,8.2399998
01/02/2010,coal,29.73
01/02/2010,natural,89.959999
01/02/2010,netimports,-.56999999
01/02/2010,nuclear,14.52
01/02/2010,total,212.34
01/02/2010,windsolarandhydro,.77999997
01/02/2011,bioenergywaste,8.6000004
01/02/2011,coal,34.540001
01/02/2011,natural,81.339996
01/02/2011,netimports,.23999999
01/02/2011,nuclear,16.4
01/02/2011,total,211.24001
01/02/2011,windsolarandhydro,1.7
01/02/2012,bioenergywaste,9.1700001
01/02/2012,coal,40.650002
01/02/2012,natural,75.889999
01/02/2012,netimports,-.54000002
01/02/2012,nuclear,16.129999
01/02/2012,total,209.03999
01/02/2012,windsolarandhydro,2.1600001
01/02/2013,bioenergywaste,9.6599998
01/02/2013,coal,33.580002
01/02/2013,natural,72.879997
01/02/2013,netimports,.81
01/02/2013,nuclear,14.78
01/02/2013,total,197.33
01/02/2013,windsolarandhydro,2.3800001
01/02/2014,bioenergywaste,10.52
01/02/2014,coal,34.240002
01/02/2014,natural,67.540001
01/02/2014,netimports,1.71
01/02/2014,nuclear,13.66
01/02/2014,total,196.27
01/02/2014,windsolarandhydro,4.6999998
01/02/2015,bioenergywaste,12.23
01/02/2015,coal,27
01/02/2015,natural,70.379997
01/02/2015,netimports,1.5599999
01/02/2015,nuclear,16
01/02/2015,total,197.2
01/02/2015,windsolarandhydro,3.9200001
01/02/2016,bioenergywaste,13.89
01/02/2016,coal,16.690001
01/02/2016,natural,75.940002
01/02/2016,netimports,2.0899999
01/02/2016,nuclear,14.9
01/02/2016,total,193.50999
01/02/2016,windsolarandhydro,4.6399999
01/02/2017,bioenergywaste,14.18
01/02/2017,coal,14.06
01/02/2017,natural,74.870003
01/02/2017,netimports,1.09
01/02/2017,nuclear,15.52
01/02/2017,total,194.42
01/02/2017,windsolarandhydro,5.04
01/02/2018,bioenergywaste,14.69
01/02/2018,coal,9.8699999
01/02/2018,natural,78.839996
01/02/2018,netimports,1.71
01/02/2018,nuclear,14.61
01/02/2018,total,193.36
01/02/2018,windsolarandhydro,5.8299999
01/02/2019,bioenergywaste,15.82
01/02/2019,coal,5.75
01/02/2019,natural,74.959999
01/02/2019,netimports,2.22
01/02/2019,nuclear,12.49
01/02/2019,total,182.58
01/02/2019,windsolarandhydro,6.2199998
01/02/2020,bioenergywaste,18.299999
01/02/2020,coal,6.8000002
01/02/2020,natural,74.290001
01/02/2020,netimports,2.1500001
01/02/2020,nuclear,11.61
01/02/2020,total,189.44
01/02/2020,windsolarandhydro,9.7200003
01/02/2021,bioenergywaste,17.75
01/02/2021,coal,5.0100002
01/02/2021,natural,72.980003
01/02/2021,netimports,2.3
01/02/2021,nuclear,9.6700001
01/02/2021,total,160.38
01/02/2021,windsolarandhydro,7.6799998
01/03/2010,bioenergywaste,8.2399998
01/03/2010,coal,26.870001
01/03/2010,natural,96.18
01/03/2010,netimports,-.41999999
01/03/2010,nuclear,15.57
01/03/2010,total,218.24001
01/03/2010,windsolarandhydro,1.0599999
01/03/2011,bioenergywaste,8.6000004
01/03/2011,coal,35.919998
01/03/2011,natural,83.870003
01/03/2011,netimports,.37
01/03/2011,nuclear,17.27
01/03/2011,total,213.75999
01/03/2011,windsolarandhydro,1.23
01/03/2012,bioenergywaste,9.1700001
01/03/2012,coal,44.240002
01/03/2012,natural,73.129997
01/03/2012,netimports,1.14
01/03/2012,nuclear,11.95
01/03/2012,total,210.03999
01/03/2012,windsolarandhydro,1.8
01/03/2013,bioenergywaste,9.6599998
01/03/2013,coal,33.259998
01/03/2013,natural,73.650002
01/03/2013,netimports,1.23
01/03/2013,nuclear,14.59
01/03/2013,total,197.7
01/03/2013,windsolarandhydro,2.5699999
01/03/2014,bioenergywaste,10.52
01/03/2014,coal,36
01/03/2014,natural,67.269997
01/03/2014,netimports,1.49
01/03/2014,nuclear,13.88
01/03/2014,total,197.7
01/03/2014,windsolarandhydro,4.21
01/03/2015,bioenergywaste,12.3
01/03/2015,coal,29.74
01/03/2015,natural,69.040001
01/03/2015,netimports,1.8200001
01/03/2015,nuclear,15.23
01/03/2015,total,198.66
01/03/2015,windsolarandhydro,4.8099999
01/03/2016,bioenergywaste,14
01/03/2016,coal,15.54
01/03/2016,natural,77.449997
01/03/2016,netimports,2.26
01/03/2016,nuclear,14.85
01/03/2016,total,196.74001
01/03/2016,windsolarandhydro,4.0100002
01/03/2017,bioenergywaste,14.3
01/03/2017,coal,9.9700003
01/03/2017,natural,77.800003
01/03/2017,netimports,1.4299999
01/03/2017,nuclear,15.69
01/03/2017,total,192.58
01/03/2017,windsolarandhydro,5.3600001
01/03/2018,bioenergywaste,14.79
01/03/2018,coal,14.83
01/03/2018,natural,77.459999
01/03/2018,netimports,1.62
01/03/2018,nuclear,15.2
01/03/2018,total,196.03999
01/03/2018,windsolarandhydro,6.3800001
01/03/2019,bioenergywaste,15.92
01/03/2019,coal,5.9299998
01/03/2019,natural,73.849998
01/03/2019,netimports,2.6500001
01/03/2019,nuclear,12.11
01/03/2019,total,183.00999
01/03/2019,windsolarandhydro,7.8600001
01/03/2020,bioenergywaste,18.379999
01/03/2020,coal,5.7800002
01/03/2020,natural,72.82
01/03/2020,netimports,2.4000001
01/03/2020,nuclear,9.8000002
01/03/2020,total,180.27
01/03/2020,windsolarandhydro,8.9499998
01/03/2021,bioenergywaste,17.780001
01/03/2021,coal,5.48
01/03/2021,natural,75.540001
01/03/2021,netimports,2.1800001
01/03/2021,nuclear,9.6899996
01/03/2021,total,164.66
01/03/2021,windsolarandhydro,7.4499998
01/04/2010,bioenergywaste,6.8299999
01/04/2010,coal,29.719999
01/04/2010,natural,89.830002
01/04/2010,netimports,.050000001
01/04/2010,nuclear,13.27
01/04/2010,total,210
01/04/2010,windsolarandhydro,1.11
01/04/2011,bioenergywaste,6.9299998
01/04/2011,coal,33.330002
01/04/2011,natural,83.599998
01/04/2011,netimports,.67000002
01/04/2011,nuclear,17.02
01/04/2011,total,211.74001
01/04/2011,windsolarandhydro,1.6900001
01/04/2012,bioenergywaste,7.0100002
01/04/2012,coal,41.799999
01/04/2012,natural,69.949997
01/04/2012,netimports,1.1
01/04/2012,nuclear,15.31
01/04/2012,total,201.69
01/04/2012,windsolarandhydro,1.92
01/04/2013,bioenergywaste,9.1400003
01/04/2013,coal,39.439999
01/04/2013,natural,71.699997
01/04/2013,netimports,1.21
01/04/2013,nuclear,15
01/04/2013,total,207.84
01/04/2013,windsolarandhydro,3.28
01/04/2014,bioenergywaste,9.7700005
01/04/2014,coal,42.119999
01/04/2014,natural,66.790001
01/04/2014,netimports,1.8200001
01/04/2014,nuclear,14.87
01/04/2014,total,203.92999
01/04/2014,windsolarandhydro,3.49
01/04/2015,bioenergywaste,11.7
01/04/2015,coal,31.030001
01/04/2015,natural,68.279999
01/04/2015,netimports,1.95
01/04/2015,nuclear,15.37
01/04/2015,total,199.75
01/04/2015,windsolarandhydro,4.1799998
01/04/2016,bioenergywaste,13.74
01/04/2016,coal,12.33
01/04/2016,natural,78.410004
01/04/2016,netimports,1.88
01/04/2016,nuclear,14.42
01/04/2016,total,193.89999
01/04/2016,windsolarandhydro,4.71
01/04/2017,bioenergywaste,14.42
01/04/2017,coal,8.6199999
01/04/2017,natural,75.550003
01/04/2017,netimports,2.0599999
01/04/2017,nuclear,14.72
01/04/2017,total,192.07001
01/04/2017,windsolarandhydro,5.5300002
01/04/2018,bioenergywaste,15.86
01/04/2018,coal,9.0100002
01/04/2018,natural,82.059998
01/04/2018,netimports,1.74
01/04/2018,nuclear,15.03
01/04/2018,total,201.22
