date,type,v1,year,month,Mt
1995-01-01,bioenergywaste,0,1995,1,.14
1995-01-01,coal,0,1995,1,1.72
1995-01-01,natural,0,1995,1,8.6899996
1995-01-01,nuclear,0,1995,1,1.51
1995-01-01,petroleum,0,1995,1,12.44
1995-01-01,total,0,1995,1,24.5
1995-01-01,windsolarandhydro,0,1995,1,0
1995-02-01,bioenergywaste,1,1995,2,.14
1995-02-01,coal,1,1995,2,2.6700001
1995-02-01,natural,1,1995,2,7.1799998
1995-02-01,nuclear,1,1995,2,1.59
1995-02-01,petroleum,1,1995,2,11.59
1995-02-01,total,1,1995,2,23.17
1995-02-01,windsolarandhydro,1,1995,2,0
1995-03-01,bioenergywaste,2,1995,3,.14
1995-03-01,coal,2,1995,3,3.45
1995-03-01,natural,2,1995,3,7.7399998
1995-03-01,nuclear,2,1995,3,1.91
1995-03-01,petroleum,2,1995,3,12.73
1995-03-01,total,2,1995,3,25.969999
1995-03-01,windsolarandhydro,2,1995,3,0
1995-04-01,bioenergywaste,3,1995,4,.14
1995-04-01,coal,3,1995,4,2.3800001
1995-04-01,natural,3,1995,4,5.7800002
1995-04-01,nuclear,3,1995,4,1.78
1995-04-01,petroleum,3,1995,4,12.3
1995-04-01,total,3,1995,4,22.379999
1995-04-01,windsolarandhydro,3,1995,4,0
1995-05-01,bioenergywaste,4,1995,5,.14
1995-05-01,coal,4,1995,5,2.5799999
1995-05-01,natural,4,1995,5,4.8600001
1995-05-01,nuclear,4,1995,5,1.55
1995-05-01,petroleum,4,1995,5,11.32
1995-05-01,total,4,1995,5,20.450001
1995-05-01,windsolarandhydro,4,1995,5,0
1995-06-01,bioenergywaste,5,1995,6,.14
1995-06-01,coal,5,1995,6,3.21
1995-06-01,natural,5,1995,6,3.8699999
1995-06-01,nuclear,5,1995,6,1.99
1995-06-01,petroleum,5,1995,6,8.8999996
1995-06-01,total,5,1995,6,18.110001
1995-06-01,windsolarandhydro,5,1995,6,0
1995-07-01,bioenergywaste,6,1995,7,.14
1995-07-01,coal,6,1995,7,2.55
1995-07-01,natural,6,1995,7,3.4200001
1995-07-01,nuclear,6,1995,7,1.6900001
1995-07-01,petroleum,6,1995,7,11.83
1995-07-01,total,6,1995,7,19.629999
1995-07-01,windsolarandhydro,6,1995,7,0
1995-08-01,bioenergywaste,7,1995,8,.14
1995-08-01,coal,7,1995,8,2.21
1995-08-01,natural,7,1995,8,3.1900001
1995-08-01,nuclear,7,1995,8,1.6
1995-08-01,petroleum,7,1995,8,11.72
1995-08-01,total,7,1995,8,18.860001
1995-08-01,windsolarandhydro,7,1995,8,0
1995-09-01,bioenergywaste,8,1995,9,.14
1995-09-01,coal,8,1995,9,3.3499999
1995-09-01,natural,8,1995,9,4.1799998
1995-09-01,nuclear,8,1995,9,2
1995-09-01,petroleum,8,1995,9,12.05
1995-09-01,total,8,1995,9,21.719999
1995-09-01,windsolarandhydro,8,1995,9,0
1995-10-01,bioenergywaste,9,1995,10,.14
1995-10-01,coal,9,1995,10,2.5699999
1995-10-01,natural,9,1995,10,5.2800002
1995-10-01,nuclear,9,1995,10,1.6799999
1995-10-01,petroleum,9,1995,10,13.01
1995-10-01,total,9,1995,10,22.68
1995-10-01,windsolarandhydro,9,1995,10,0
1995-11-01,bioenergywaste,10,1995,11,.14
1995-11-01,coal,10,1995,11,2.6800001
1995-11-01,natural,10,1995,11,7.1399999
1995-11-01,nuclear,10,1995,11,1.72
1995-11-01,petroleum,10,1995,11,12.37
1995-11-01,total,10,1995,11,24.049999
1995-11-01,windsolarandhydro,10,1995,11,0
1995-12-01,bioenergywaste,11,1995,12,.14
1995-12-01,coal,11,1995,12,3.3800001
1995-12-01,natural,11,1995,12,9.46
1995-12-01,nuclear,11,1995,12,2.24
1995-12-01,petroleum,11,1995,12,12.48
1995-12-01,total,11,1995,12,27.700001
1995-12-01,windsolarandhydro,11,1995,12,0
1996-01-01,bioenergywaste,12,1996,1,.15000001
1996-01-01,coal,12,1996,1,2.27
1996-01-01,natural,12,1996,1,9.1700001
1996-01-01,nuclear,12,1996,1,1.8099999
1996-01-01,petroleum,12,1996,1,12.16
1996-01-01,total,12,1996,1,25.559999
1996-01-01,windsolarandhydro,12,1996,1,0
1996-02-01,bioenergywaste,13,1996,2,.15000001
1996-02-01,coal,13,1996,2,2.71
1996-02-01,natural,13,1996,2,9.1899996
1996-02-01,nuclear,13,1996,2,1.7
1996-02-01,petroleum,13,1996,2,11.48
1996-02-01,total,13,1996,2,25.23
1996-02-01,windsolarandhydro,13,1996,2,0
1996-03-01,bioenergywaste,14,1996,3,.15000001
1996-03-01,coal,14,1996,3,3.4100001
1996-03-01,natural,14,1996,3,9.0200005
1996-03-01,nuclear,14,1996,3,2.0699999
1996-03-01,petroleum,14,1996,3,12.01
1996-03-01,total,14,1996,3,26.66
1996-03-01,windsolarandhydro,14,1996,3,0
1996-04-01,bioenergywaste,15,1996,4,.15000001
1996-04-01,coal,15,1996,4,2.45
1996-04-01,natural,15,1996,4,6.6399999
1996-04-01,nuclear,15,1996,4,1.73
1996-04-01,petroleum,15,1996,4,11.37
1996-04-01,total,15,1996,4,22.34
1996-04-01,windsolarandhydro,15,1996,4,0
1996-05-01,bioenergywaste,16,1996,5,.15000001
1996-05-01,coal,16,1996,5,2.48
1996-05-01,natural,16,1996,5,6.3499999
1996-05-01,nuclear,16,1996,5,1.78
1996-05-01,petroleum,16,1996,5,11.77
1996-05-01,total,16,1996,5,22.530001
1996-05-01,windsolarandhydro,16,1996,5,0
1996-06-01,bioenergywaste,17,1996,6,.15000001
1996-06-01,coal,17,1996,6,2.9100001
1996-06-01,natural,17,1996,6,4.3600001
1996-06-01,nuclear,17,1996,6,2.02
1996-06-01,petroleum,17,1996,6,11.09
1996-06-01,total,17,1996,6,20.530001
1996-06-01,windsolarandhydro,17,1996,6,0
1996-07-01,bioenergywaste,18,1996,7,.15000001
1996-07-01,coal,18,1996,7,2.3499999
1996-07-01,natural,18,1996,7,4.3600001
1996-07-01,nuclear,18,1996,7,1.39
1996-07-01,petroleum,18,1996,7,11.72
1996-07-01,total,18,1996,7,19.969999
1996-07-01,windsolarandhydro,18,1996,7,0
1996-08-01,bioenergywaste,19,1996,8,.15000001
1996-08-01,coal,19,1996,8,1.97
1996-08-01,natural,19,1996,8,4.23
1996-08-01,nuclear,19,1996,8,1.42
1996-08-01,petroleum,19,1996,8,11.06
1996-08-01,total,19,1996,8,18.83
1996-08-01,windsolarandhydro,19,1996,8,0
1996-09-01,bioenergywaste,20,1996,9,.15000001
1996-09-01,coal,20,1996,9,2.8099999
1996-09-01,natural,20,1996,9,5.1799998
1996-09-01,nuclear,20,1996,9,2.0999999
1996-09-01,petroleum,20,1996,9,11.51
1996-09-01,total,20,1996,9,21.75
1996-09-01,windsolarandhydro,20,1996,9,0
1996-10-01,bioenergywaste,21,1996,10,.15000001
1996-10-01,coal,21,1996,10,2.5
1996-10-01,natural,21,1996,10,6.6799998
1996-10-01,nuclear,21,1996,10,1.77
1996-10-01,petroleum,21,1996,10,12.47
1996-10-01,total,21,1996,10,23.57
1996-10-01,windsolarandhydro,21,1996,10,0
1996-11-01,bioenergywaste,22,1996,11,.15000001
1996-11-01,coal,22,1996,11,2.5899999
1996-11-01,natural,22,1996,11,8.7600002
1996-11-01,nuclear,22,1996,11,1.9299999
1996-11-01,petroleum,22,1996,11,12.33
1996-11-01,total,22,1996,11,25.76
1996-11-01,windsolarandhydro,22,1996,11,0
1996-12-01,bioenergywaste,23,1996,12,.15000001
1996-12-01,coal,23,1996,12,2.7
1996-12-01,natural,23,1996,12,10.24
1996-12-01,nuclear,23,1996,12,2.46
1996-12-01,petroleum,23,1996,12,13.1
1996-12-01,total,23,1996,12,28.65
1996-12-01,windsolarandhydro,23,1996,12,0
1997-01-01,bioenergywaste,24,1997,1,.16
1997-01-01,coal,24,1997,1,2.22
1997-01-01,natural,24,1997,1,10.35
1997-01-01,nuclear,24,1997,1,1.84
1997-01-01,petroleum,24,1997,1,12.71
1997-01-01,total,24,1997,1,27.280001
1997-01-01,windsolarandhydro,24,1997,1,0
1997-02-01,bioenergywaste,25,1997,2,.16
1997-02-01,coal,25,1997,2,2.8299999
1997-02-01,natural,25,1997,2,8.6199999
1997-02-01,nuclear,25,1997,2,1.92
1997-02-01,petroleum,25,1997,2,11.32
1997-02-01,total,25,1997,2,24.85
1997-02-01,windsolarandhydro,25,1997,2,0
1997-03-01,bioenergywaste,26,1997,3,.16
1997-03-01,coal,26,1997,3,3.3499999
1997-03-01,natural,26,1997,3,8.0500002
1997-03-01,nuclear,26,1997,3,2.1400001
1997-03-01,petroleum,26,1997,3,12.16
1997-03-01,total,26,1997,3,25.860001
1997-03-01,windsolarandhydro,26,1997,3,0
1997-04-01,bioenergywaste,27,1997,4,.16
1997-04-01,coal,27,1997,4,2.5599999
1997-04-01,natural,27,1997,4,6.9899998
1997-04-01,nuclear,27,1997,4,1.77
1997-04-01,petroleum,27,1997,4,11.61
1997-04-01,total,27,1997,4,23.09
1997-04-01,windsolarandhydro,27,1997,4,0
1997-05-01,bioenergywaste,28,1997,5,.16
1997-05-01,coal,28,1997,5,2.48
